Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,5550.000000,5575.000000,5450.000000,5475.000000,5208.945313,87065000
2021-03-15,5525.000000,5625.000000,5500.000000,5525.000000,5256.515137,48489500
2021-03-16,5600.000000,5725.000000,5550.000000,5550.000000,5280.300781,64804400
2021-03-17,5625.000000,5650.000000,5550.000000,5575.000000,5304.085449,61881600
2021-03-18,5675.000000,5800.000000,5625.000000,5725.000000,5446.796387,90338700
2021-03-19,5725.000000,5775.000000,5625.000000,5775.000000,5494.366699,80429800
2021-03-22,5750.000000,5775.000000,5550.000000,5575.000000,5304.085449,57320300
2021-03-23,5550.000000,5675.000000,5550.000000,5575.000000,5304.085449,46973100
2021-03-24,5575.000000,5600.000000,5450.000000,5450.000000,5185.160156,40065300
2021-03-25,5450.000000,5525.000000,5400.000000,5450.000000,5185.160156,49497900
2021-03-26,5525.000000,5600.000000,5475.000000,5600.000000,5327.871094,24880300
2021-03-29,5600.000000,5650.000000,5525.000000,5525.000000,5256.515137,25164100
2021-03-30,5475.000000,5550.000000,5400.000000,5400.000000,5137.589844,55842300
2021-03-31,5450.000000,5450.000000,5225.000000,5275.000000,5018.663574,89835200
2021-04-01,5350.000000,5400.000000,5325.000000,5350.000000,5090.019531,33323600
2021-04-05,5425.000000,5450.000000,5350.000000,5350.000000,5090.019531,29142200
2021-04-06,5375.000000,5400.000000,5300.000000,5350.000000,5090.019531,26040800
2021-04-07,5300.000000,5350.000000,5275.000000,5325.000000,5066.234375,33361900
2021-04-08,5375.000000,5375.000000,5300.000000,5300.000000,5042.449219,43680100
2021-04-09,5300.000000,5400.000000,5275.000000,5275.000000,5018.663574,59348800
2021-04-12,5250.000000,5275.000000,5050.000000,5075.000000,4828.382813,68211200
2021-04-13,5025.000000,5175.000000,5025.000000,5075.000000,4828.382813,53505400
2021-04-14,5150.000000,5275.000000,5100.000000,5250.000000,4994.878906,39277800
2021-04-15,5250.000000,5275.000000,5175.000000,5250.000000,4994.878906,34533700
2021-04-16,5300.000000,5325.000000,5200.000000,5250.000000,4994.878906,38151200
2021-04-19,5225.000000,5250.000000,5200.000000,5200.000000,4947.308594,30832600
2021-04-20,5150.000000,5300.000000,5150.000000,5300.000000,5042.449219,46601200
2021-04-21,5225.000000,5275.000000,5200.000000,5225.000000,4971.093750,47261000
2021-04-22,5225.000000,5500.000000,5225.000000,5450.000000,5185.160156,86785100
2021-04-23,5500.000000,5650.000000,5475.000000,5625.000000,5351.655762,95175600
2021-04-26,5625.000000,5675.000000,5600.000000,5625.000000,5351.655762,65428000
2021-04-27,5625.000000,5650.000000,5475.000000,5525.000000,5256.515137,41552600
2021-04-28,5400.000000,5575.000000,5325.000000,5350.000000,5090.019531,72011700
2021-04-29,5350.000000,5475.000000,5350.000000,5425.000000,5161.374512,43203100
2021-04-30,5450.000000,5550.000000,5375.000000,5500.000000,5232.729980,56668600
2021-05-03,5450.000000,5500.000000,5400.000000,5425.000000,5244.330566,29451000
2021-05-04,5500.000000,5575.000000,5425.000000,5500.000000,5316.832520,39860400
2021-05-05,5525.000000,5600.000000,5475.000000,5525.000000,5341.000000,27270000
2021-05-06,5600.000000,5600.000000,5400.000000,5425.000000,5244.330566,34361400
2021-05-07,5450.000000,5475.000000,5275.000000,5325.000000,5147.660645,30771700
2021-05-10,5350.000000,5425.000000,5350.000000,5375.000000,5195.996094,25429700
2021-05-11,5400.000000,5425.000000,5175.000000,5225.000000,5050.991211,49162600
2021-05-17,5300.000000,5325.000000,5125.000000,5175.000000,5002.656250,47623100
2021-05-18,5150.000000,5200.000000,5100.000000,5150.000000,4978.488770,45784300
2021-05-19,5100.000000,5125.000000,5025.000000,5050.000000,4881.818848,47008800
2021-05-20,5050.000000,5200.000000,5025.000000,5175.000000,5002.656250,49746900
2021-05-21,5175.000000,5225.000000,5050.000000,5050.000000,4881.818848,43416900
2021-05-24,5100.000000,5150.000000,5025.000000,5100.000000,4930.154297,33540000
2021-05-25,5100.000000,5150.000000,5050.000000,5075.000000,4905.986328,45393500
2021-05-27,5100.000000,5225.000000,5075.000000,5150.000000,4978.488770,99709500
2021-05-28,5175.000000,5225.000000,5125.000000,5150.000000,4978.488770,24346700
2021-05-31,5175.000000,5300.000000,5150.000000,5250.000000,5075.158691,41498000
2021-06-02,5350.000000,5350.000000,5275.000000,5325.000000,5147.660645,43217400
2021-06-03,5350.000000,5350.000000,5275.000000,5350.000000,5171.828125,49012700
2021-06-04,5325.000000,5350.000000,5200.000000,5225.000000,5050.991211,35211100
2021-06-07,5225.000000,5300.000000,5200.000000,5250.000000,5075.158691,31693200
2021-06-08,5300.000000,5325.000000,5200.000000,5275.000000,5099.325684,35402300
2021-06-09,5275.000000,5350.000000,5225.000000,5325.000000,5147.660645,24331300
2021-06-10,5400.000000,5425.000000,5325.000000,5400.000000,5220.163086,42924200
2021-06-11,5400.000000,5425.000000,5250.000000,5275.000000,5099.325684,44421700
2021-06-14,5350.000000,5350.000000,5150.000000,5175.000000,5002.656250,40699500
2021-06-15,5175.000000,5200.000000,5125.000000,5150.000000,4978.488770,35915800
2021-06-16,5200.000000,5200.000000,5125.000000,5150.000000,4978.488770,29144900
2021-06-17,5125.000000,5150.000000,5075.000000,5100.000000,4930.154297,38074600
2021-06-18,5075.000000,5125.000000,4900.000000,5000.000000,4833.484375,112157600
2021-06-21,4920.000000,4970.000000,4760.000000,4920.000000,4756.148438,48183300
2021-06-22,4920.000000,5025.000000,4900.000000,4920.000000,4756.148438,47156200
2021-06-23,4980.000000,5025.000000,4920.000000,4930.000000,4765.815918,46351900
2021-06-24,4930.000000,4980.000000,4910.000000,4940.000000,4775.482422,24665200
2021-06-25,4940.000000,4980.000000,4910.000000,4920.000000,4756.148438,33125300
2021-06-28,4920.000000,4930.000000,4710.000000,4710.000000,4553.142578,53083400
2021-06-29,4730.000000,4920.000000,4710.000000,4840.000000,4678.812988,70425700
2021-06-30,4830.000000,5000.000000,4820.000000,4940.000000,4775.482422,34641700
2021-07-01,4990.000000,5100.000000,4950.000000,5025.000000,4857.651855,42856900
2021-07-02,5025.000000,5075.000000,4980.000000,5000.000000,4833.484375,22436900
2021-07-05,5050.000000,5075.000000,4920.000000,4940.000000,4775.482422,27554100
2021-07-06,4970.000000,4970.000000,4890.000000,4900.000000,4736.814941,31280100
2021-07-07,4900.000000,4990.000000,4860.000000,4900.000000,4736.814941,35907800
2021-07-08,4930.000000,4960.000000,4850.000000,4880.000000,4717.480957,40566600
2021-07-09,4880.000000,4920.000000,4870.000000,4910.000000,4746.481445,21088500
2021-07-12,4910.000000,4950.000000,4880.000000,4920.000000,4756.148438,26816600
2021-07-13,4950.000000,4960.000000,4850.000000,4900.000000,4736.814941,28998600
2021-07-14,4920.000000,4920.000000,4730.000000,4730.000000,4572.476074,43408700
2021-07-15,4730.000000,4840.000000,4640.000000,4810.000000,4649.812012,50750700
2021-07-16,4840.000000,4910.000000,4820.000000,4880.000000,4717.480957,32544000
2021-07-19,4850.000000,4870.000000,4780.000000,4780.000000,4620.811035,25106100
2021-07-21,4780.000000,4930.000000,4780.000000,4870.000000,4707.813965,41716000
2021-07-22,4930.000000,5025.000000,4900.000000,4980.000000,4814.150391,36287300
2021-07-23,5000.000000,5000.000000,4910.000000,4950.000000,4785.149414,26847700
2021-07-26,4950.000000,4970.000000,4770.000000,4770.000000,4611.144043,43373400
2021-07-27,4770.000000,4830.000000,4730.000000,4760.000000,4601.477051,42635500
2021-07-28,4780.000000,4790.000000,4710.000000,4710.000000,4553.142578,24083000
2021-07-29,4720.000000,4740.000000,4650.000000,4650.000000,4495.140625,50238500
2021-07-30,4710.000000,4840.000000,4670.000000,4720.000000,4562.809082,65379500
2021-08-02,4730.000000,4820.000000,4730.000000,4820.000000,4659.479004,39192600
2021-08-03,4840.000000,4970.000000,4830.000000,4940.000000,4775.482422,46414100
2021-08-04,4970.000000,4970.000000,4870.000000,4900.000000,4736.814941,25646900
2021-08-05,4900.000000,4930.000000,4860.000000,4890.000000,4727.147461,31304900
2021-08-06,4940.000000,4980.000000,4880.000000,4940.000000,4775.482422,45454600
2021-08-09,4940.000000,4950.000000,4830.000000,4860.000000,4698.146484,31858700
2021-08-10,4900.000000,4930.000000,4840.000000,4910.000000,4746.481445,41920300
2021-08-12,4940.000000,4960.000000,4880.000000,4940.000000,4775.482422,22191700
2021-08-13,4960.000000,5075.000000,4960.000000,5025.000000,4857.651855,62673300
2021-08-16,5050.000000,5075.000000,4990.000000,5075.000000,4905.986328,46949700
2021-08-18,5100.000000,5300.000000,5075.000000,5225.000000,5050.991211,102560600
2021-08-19,5225.000000,5275.000000,5075.000000,5150.000000,4978.488770,53594900
2021-08-20,5150.000000,5150.000000,5000.000000,5100.000000,4930.154297,32878200
2021-08-23,5100.000000,5150.000000,5050.000000,5100.000000,4930.154297,30921500
2021-08-24,5175.000000,5175.000000,5050.000000,5075.000000,4905.986328,32783500
2021-08-25,5150.000000,5200.000000,5075.000000,5150.000000,4978.488770,26870400
2021-08-26,5200.000000,5200.000000,5050.000000,5100.000000,4930.154297,28757400
2021-08-27,5100.000000,5100.000000,5050.000000,5050.000000,4881.818848,26966100
2021-08-30,5100.000000,5275.000000,5100.000000,5275.000000,5099.325684,51914600
2021-08-31,5275.000000,5300.000000,5200.000000,5225.000000,5050.991211,45649200
2021-09-01,5225.000000,5275.000000,5100.000000,5175.000000,5002.656250,26732500
2021-09-02,5200.000000,5250.000000,5175.000000,5250.000000,5075.158691,17335000
2021-09-03,5250.000000,5350.000000,5200.000000,5350.000000,5171.828125,28004500
2021-09-06,5375.000000,5450.000000,5325.000000,5425.000000,5244.330566,28315200
2021-09-07,5425.000000,5450.000000,5300.000000,5350.000000,5171.828125,23685800
2021-09-08,5375.000000,5375.000000,5250.000000,5250.000000,5075.158691,44076000
2021-09-09,5250.000000,5450.000000,5250.000000,5450.000000,5268.498047,49118000
2021-09-10,5450.000000,5475.000000,5375.000000,5425.000000,5244.330566,31997100
2021-09-13,5425.000000,5500.000000,5350.000000,5450.000000,5268.498047,29796400
2021-09-14,5500.000000,5550.000000,5450.000000,5525.000000,5341.000000,34356900
2021-09-15,5525.000000,5550.000000,5375.000000,5400.000000,5220.163086,61522300
2021-09-16,5425.000000,5475.000000,5350.000000,5375.000000,5195.996094,27187700
2021-09-17,5375.000000,5425.000000,5275.000000,5425.000000,5244.330566,44004000
2021-09-20,5425.000000,5425.000000,5225.000000,5300.000000,5123.493164,46896100
2021-09-21,5275.000000,5275.000000,5150.000000,5225.000000,5050.991211,23656300
2021-09-22,5225.000000,5350.000000,5200.000000,5275.000000,5099.325684,21750800
2021-09-23,5275.000000,5325.000000,5150.000000,5150.000000,4978.488770,27178400
2021-09-24,5150.000000,5225.000000,5125.000000,5150.000000,4978.488770,29394300
2021-09-27,5150.000000,5225.000000,5125.000000,5175.000000,5002.656250,25252300
2021-09-28,5175.000000,5200.000000,5075.000000,5075.000000,4905.986328,35640900
2021-09-29,5075.000000,5350.000000,5050.000000,5325.000000,5147.660645,42995900
2021-09-30,5375.000000,5500.000000,5300.000000,5500.000000,5316.832520,44723000
2021-10-01,5450.000000,5500.000000,5400.000000,5450.000000,5268.498047,27484100
2021-10-04,5500.000000,5625.000000,5475.000000,5575.000000,5389.334961,52074900
2021-10-05,5575.000000,5650.000000,5500.000000,5550.000000,5365.167480,27128000
2021-10-06,5600.000000,6100.000000,5575.000000,5975.000000,5776.013672,168237500
2021-10-07,5975.000000,6000.000000,5700.000000,5700.000000,5510.172363,97516000
2021-10-08,5700.000000,5975.000000,5625.000000,5900.000000,5748.897461,91094200
2021-10-11,5925.000000,5950.000000,5775.000000,5775.000000,5627.099121,38994500
2021-10-12,5800.000000,5950.000000,5775.000000,5875.000000,5724.538086,68823100
2021-10-13,5950.000000,6300.000000,5925.000000,6275.000000,6114.293457,143652900
2021-10-14,6300.000000,6450.000000,6125.000000,6225.000000,6065.574219,104502800
2021-10-15,6275.000000,6300.000000,6125.000000,6250.000000,6089.934082,82896700
2021-10-18,6275.000000,6350.000000,6200.000000,6225.000000,6065.574219,61419000
2021-10-19,6275.000000,6375.000000,6200.000000,6350.000000,6187.373047,52117000
2021-10-21,6350.000000,6350.000000,6125.000000,6150.000000,5992.495117,132905200
2021-10-22,6150.000000,6225.000000,6125.000000,6175.000000,6016.854980,26886400
2021-10-25,6200.000000,6225.000000,6025.000000,6050.000000,5895.056152,51872000
2021-10-26,6050.000000,6175.000000,6050.000000,6150.000000,5992.495117,25950500
2021-10-27,6100.000000,6125.000000,6000.000000,6000.000000,5846.336426,40588700
2021-10-28,6000.000000,6175.000000,5950.000000,6000.000000,5846.336426,50046900
2021-10-29,6225.000000,6250.000000,6025.000000,6025.000000,5870.696289,82397400
2021-11-01,6050.000000,6150.000000,6025.000000,6025.000000,5870.696289,37254100
2021-11-02,6025.000000,6100.000000,5900.000000,5900.000000,5748.897461,25293400
2021-11-03,5900.000000,6025.000000,5825.000000,5975.000000,5821.977051,90495000
2021-11-04,6075.000000,6075.000000,5950.000000,5975.000000,5821.977051,41774200
2021-11-05,5900.000000,5975.000000,5850.000000,5925.000000,5773.257324,80775400
2021-11-08,5925.000000,6000.000000,5900.000000,5925.000000,5773.257324,23177300
2021-11-09,5900.000000,5950.000000,5850.000000,5850.000000,5700.178223,41112200
2021-11-10,5925.000000,6250.000000,5875.000000,6175.000000,6016.854980,104312600
2021-11-11,6200.000000,6250.000000,6150.000000,6175.000000,6016.854980,51111700
2021-11-12,6200.000000,6225.000000,6075.000000,6150.000000,5992.495117,26920800
2021-11-15,6150.000000,6175.000000,6050.000000,6125.000000,5968.135254,22148900
2021-11-16,6125.000000,6250.000000,6100.000000,6175.000000,6016.854980,42681000
2021-11-17,6225.000000,6250.000000,6175.000000,6250.000000,6089.934082,49120900
2021-11-18,6250.000000,6250.000000,6175.000000,6200.000000,6041.214355,29629900
2021-11-19,6225.000000,6250.000000,6200.000000,6225.000000,6065.574219,37505200
2021-11-22,6250.000000,6375.000000,6125.000000,6200.000000,6041.214355,62612600
2021-11-23,6250.000000,6300.000000,6175.000000,6250.000000,6089.934082,31557400
2021-11-24,6275.000000,6275.000000,6200.000000,6225.000000,6065.574219,25645300
2021-11-25,6250.000000,6300.000000,6175.000000,6225.000000,6065.574219,32763500
2021-11-26,6200.000000,6225.000000,5875.000000,5900.000000,5748.897461,93634100
2021-11-29,5900.000000,6000.000000,5750.000000,5975.000000,5821.977051,87367400
2021-11-30,5950.000000,5975.000000,5750.000000,5775.000000,5627.099121,97592700
2021-12-01,5825.000000,5850.000000,5625.000000,5650.000000,5505.300293,102412800
2021-12-02,5650.000000,5875.000000,5600.000000,5850.000000,5700.178223,48422300
2021-12-03,5900.000000,5925.000000,5725.000000,5750.000000,5602.739258,31882900
2021-12-06,5750.000000,5800.000000,5650.000000,5650.000000,5505.300293,53112400
2021-12-07,5700.000000,5925.000000,5700.000000,5925.000000,5773.257324,39679500
2021-12-08,5925.000000,5950.000000,5775.000000,5800.000000,5651.458496,44189500
2021-12-09,5900.000000,6000.000000,5800.000000,6000.000000,5846.336426,35386900
2021-12-10,5950.000000,5950.000000,5800.000000,5925.000000,5773.257324,55629400
2021-12-13,5925.000000,5975.000000,5875.000000,5900.000000,5748.897461,30655800
2021-12-14,5925.000000,5925.000000,5850.000000,5875.000000,5724.538086,17233700
2021-12-15,5900.000000,6050.000000,5875.000000,6000.000000,5846.336426,51113700
2021-12-16,6025.000000,6050.000000,5800.000000,5800.000000,5651.458496,56929600
2021-12-17,5800.000000,5825.000000,5725.000000,5800.000000,5651.458496,55854900
2021-12-20,5750.000000,5775.000000,5675.000000,5675.000000,5529.660156,26290000
2021-12-21,5675.000000,5750.000000,5650.000000,5650.000000,5505.300293,29127800
2021-12-22,5700.000000,5775.000000,5625.000000,5625.000000,5480.940430,33727100
2021-12-23,5650.000000,5750.000000,5625.000000,5725.000000,5578.379395,21744100
2021-12-24,5725.000000,5750.000000,5650.000000,5675.000000,5529.660156,16203800
2021-12-27,5725.000000,5750.000000,5650.000000,5675.000000,5529.660156,20426700
2021-12-28,5675.000000,5750.000000,5650.000000,5725.000000,5578.379395,21833300
2021-12-29,5750.000000,5775.000000,5675.000000,5750.000000,5602.739258,14260000
2021-12-30,5775.000000,5775.000000,5700.000000,5700.000000,5554.019531,17144000
